strain4,strain2,strain1,strain3,layup,specimen,specimen_id,fatigue_step,strain_type,filename,sample_index
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,0
0.0,0.0022452809006783953,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,1
0.0,0.0022452809006783953,0.0021419493915775575,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,2
0.0,0.0022452809006783953,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,3
0.0,0.002241453408794325,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,4
0.0,0.0022491084232547118,0.0021419493915775575,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,5
0.0,0.0022452809006783953,0.002145776085592794,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,6
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,7
0.0,0.0022452809006783953,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,8
0.0,0.0022452809006783953,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,9
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,10
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,11
0.0,0.0022491084232547118,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,12
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,13
0.0,0.0022452809006783953,0.0021419493915775575,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,14
0.0,0.0022452809006783953,0.0021419493915775575,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,15
0.0,0.0022452809006783953,0.0021419493915775575,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,16
0.0,0.0022452809006783953,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,17
0.0,0.0022452809006783953,0.0021419493915775575,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,18
0.0,0.0022452809006783953,0.0021419493915775575,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,19
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,20
0.0,0.0022452809006783953,0.002145776085592794,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,21
0.0,0.0022452809006783953,0.0021419493915775575,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,22
0.0,0.0022491084232547118,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,23
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,24
0.0,0.0022452809006783953,0.0021419493915775575,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,25
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,26
0.0,0.0022452809006783953,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,27
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,28
0.0,0.0022452809006783953,0.0021419493915775575,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,29
0.0,0.0022491084232547118,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,30
0.0,0.0022452809006783953,0.002145776085592794,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,31
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,32
0.0,0.0022452809006783953,0.0021419493915775575,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,33
0.0,0.0022452809006783953,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,34
0.0,0.0022452809006783953,0.002145776085592794,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,35
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,36
0.0,0.0022452809006783953,0.0021419493915775575,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,37
0.0,0.0022452809006783953,0.0021419493915775575,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,38
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,39
0.0,0.0022452809006783953,0.002145776085592794,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,40
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,41
0.0,0.0022491084232547118,0.002145776085592794,0.002275901940702826,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,42
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,43
0.0,0.0022491084232547118,0.002145776085592794,0.00227207420327045,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,44
0.0,0.0022452809006783953,0.0021419493915775575,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,45
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,46
0.0,0.0022491084232547118,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,47
0.0,0.0022452809006783953,0.002145776085592794,0.0022739880681497612,1,11,L1_S11_F,F00,mts_data,L1_S11_F00_DAT.mat,48
