layup,specimen,specimen_id,cycles,filename,filepath,file_size_kb
1,11,L1_S11_F,1,L1S11_1.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_1.jpg,175.927734375
1,11,L1_S11_F,10,L1S11_10.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_10.jpg,161.0595703125
1,11,L1_S11_F,100,L1S11_100.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_100.jpg,204.779296875
1,11,L1_S11_F,1000,L1S11_1000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_1000.jpg,163.8037109375
1,11,L1_S11_F,10000,L1S11_10000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_10000.jpg,203.2138671875
1,11,L1_S11_F,100000,L1S11_100000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_100000.jpg,196.5751953125
1,11,L1_S11_F,20000,L1S11_20000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_20000.jpg,234.69921875
1,11,L1_S11_F,30000,L1S11_30000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_30000.jpg,175.2001953125
1,11,L1_S11_F,40000,L1S11_40000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_40000.jpg,184.07421875
1,11,L1_S11_F,50000,L1S11_50000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_50000.jpg,238.939453125
1,11,L1_S11_F,60000,L1S11_60000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_60000.jpg,172.0693359375
1,11,L1_S11_F,70000,L1S11_70000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_70000.jpg,190.58984375
1,11,L1_S11_F,80000,L1S11_80000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_80000.jpg,215.6669921875
1,11,L1_S11_F,90000,L1S11_90000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_90000.jpg,182.1904296875
1,11,L1_S11_F,0,L1S11_Baseline.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S11_F\XRay\L1S11_Baseline.jpg,216.8369140625
1,12,L1_S12_F,0,L1S12_0.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_0.jpg,192.9599609375
1,12,L1_S12_F,1,L1S12_1.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_1.jpg,216.35546875
1,12,L1_S12_F,10,L1S12_10.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_10.jpg,213.6025390625
1,12,L1_S12_F,1000,L1S12_1000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_1000.jpg,288.8017578125
1,12,L1_S12_F,10000,L1S12_10000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_10000.jpg,294.4658203125
1,12,L1_S12_F,100000,L1S12_100000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_100000.jpg,309.48046875
1,12,L1_S12_F,125000,L1S12_125000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_125000.jpg,180.3818359375
1,12,L1_S12_F,150000,L1S12_150000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_150000.jpg,169.2001953125
1,12,L1_S12_F,175000,L1S12_175000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_175000.jpg,165.400390625
1,12,L1_S12_F,20000,L1S12_20000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_20000.jpg,210.419921875
1,12,L1_S12_F,200000,L1S12_200000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_200000.jpg,177.361328125
1,12,L1_S12_F,250000,L1S12_250000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_250000.jpg,167.0478515625
1,12,L1_S12_F,30000,L1S12_30000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_30000.jpg,177.05859375
1,12,L1_S12_F,300000,L1S12_300000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_300000.jpg,169.546875
1,12,L1_S12_F,40000,L1S12_40000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_40000.jpg,228.513671875
1,12,L1_S12_F,50000,L1S12_50000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_50000.jpg,179.3251953125
1,12,L1_S12_F,60000,L1S12_60000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_60000.jpg,172.3623046875
1,12,L1_S12_F,70000,L1S12_70000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_70000.jpg,183.6171875
1,12,L1_S12_F,80000,L1S12_80000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_80000.jpg,182.2197265625
1,12,L1_S12_F,90000,L1S12_90000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_90000.jpg,181.5537109375
1,12,L1_S12_F,0,L1S12_Baseline.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S12_F\XRay\L1S12_Baseline.jpg,184.373046875
1,18,L1_S18_F,1000,L1S18_1000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_1000.JPG,840.32421875
1,18,L1_S18_F,100000,L1S18_100000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_100000.JPG,1278.6552734375
1,18,L1_S18_F,150000,L1S18_150000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_150000.JPG,596.1376953125
1,18,L1_S18_F,1650000,L1S18_1650000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_1650000.jpg,507.5927734375
1,18,L1_S18_F,200000,L1S18_200000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_200000.JPG,494.8447265625
1,18,L1_S18_F,250000,L1S18_250000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_250000.JPG,547.5771484375
1,18,L1_S18_F,300000,L1S18_300000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_300000.JPG,625.154296875
1,18,L1_S18_F,400000,L1S18_400000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_400000.JPG,545.044921875
1,18,L1_S18_F,50000,L1S18_50000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_50000.JPG,932.7666015625
1,18,L1_S18_F,500000,L1S18_500000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_500000.JPG,335.736328125
1,18,L1_S18_F,600000,L1S18_600000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_600000.JPG,575.310546875
1,18,L1_S18_F,750000,L1S18_750000.JPG,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S18_F\XRay\L1S18_750000.JPG,853.3505859375
1,19,L1_S19_F,0,L1S19_000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_000.jpg,1595.1201171875
1,19,L1_S19_F,1,L1S19_1.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_1.jpg,1546.748046875
1,19,L1_S19_F,10,L1S19_10.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_10.jpg,1493.6513671875
1,19,L1_S19_F,100,L1S19_100.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_100.jpg,1576.154296875
1,19,L1_S19_F,10000,L1S19_10000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_10000.jpg,1570.6923828125
1,19,L1_S19_F,100000,L1S19_100000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_100000.jpg,1613.5302734375
1,19,L1_S19_F,125000,L1S19_125000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_125000.jpg,1698.2265625
1,19,L1_S19_F,2,L1S19_2.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_2.jpg,1700.62890625
1,19,L1_S19_F,20000,L1S19_20000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_20000.jpg,1645.4453125
1,19,L1_S19_F,30000,L1S19_30000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_30000.jpg,1541.025390625
1,19,L1_S19_F,40000,L1S19_40000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_40000.jpg,1556.455078125
1,19,L1_S19_F,50000,L1S19_50000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_50000.jpg,1637.7724609375
1,19,L1_S19_F,75000,L1S19_75000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_75000.jpg,1577.009765625
1,19,L1_S19_F,0,L1S19_baseline.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup1\L1_S19_F\XRay\L1S19_baseline.jpg,1739.87109375
2,17,L2_S17_F,1,L2S17_1.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup2\L2_S17_F\XRay\L2S17_1.jpg,1777.66796875
2,17,L2_S17_F,100000,L2S17_100000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup2\L2_S17_F\XRay\L2S17_100000.jpg,1680.36328125
2,17,L2_S17_F,1000000,L2S17_1000000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup2\L2_S17_F\XRay\L2S17_1000000.jpg,1867.728515625
2,17,L2_S17_F,1100000,L2S17_1100000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup2\L2_S17_F\XRay\L2S17_1100000.jpg,1825.1669921875
2,17,L2_S17_F,1250000,L2S17_1250000.jpg,C:\Users\rites\Downloads\2.+Composites\2. Composites\Layup2\L2_S17_F\XRay\L2S17_1250000.jpg,1719.0361328125
